"";"Species";"Body_size_mm";"Fos";"Ter";"Aqu";"Arb";"Dir";"Lar";"Viv"
"124";"Austrochaperina_rivularis";51,5;0;1;1;0;1;0;0
"125";"Austrochaperina_septentrionalis";31,6;0;1;1;0;1;0;0
"126";"Austrochaperina_yelaensis";20,5;0;1;1;0;1;0;0
"127";"Babina_holsti";118,7;0;1;0;0;0;1;0
"128";"Babina_subaspera";124,8;0;1;1;0;0;1;0
"129";"Barbourula_busuangensis";85,3;1;0;0;0;NA;NA;NA
"130";"Barbourula_kalimantanensis";68;1;0;0;0;NA;NA;NA
"131";"Barygenys_atra";41;1;1;1;0;1;0;0
"132";"Barygenys_cheesmanae";40;1;1;1;0;1;0;0
"133";"Barygenys_exsul";39;1;1;1;0;1;0;0
"134";"Barygenys_flavigularis";27;1;1;1;0;1;0;0
"135";"Barygenys_maculata";50,8;1;1;1;0;1;0;0
"136";"Barygenys_nana";26;1;1;1;0;1;0;0
"137";"Barygenys_parvula";18,7;1;1;1;0;1;0;0
"138";"Batrachyla_antartandica";37,7;0;1;1;1;0;1;0
"139";"Batrachyla_leptopus";34;0;1;0;0;0;1;0
"140";"Batrachyla_nibaldoi";39,9;0;1;0;0;0;1;0
"141";"Batrachyla_taeniata";42;0;1;0;0;0;1;0
"142";"Bijurana_nicobariensis";50;NA;NA;NA;NA;NA;NA;NA
"143";"Blommersia_angolafa";19,05;0;0;0;1;0;1;0
"144";"Blommersia_blommersae";19,5;0;0;0;1;0;1;0
"145";"Blommersia_dejongi";23,6;0;0;0;1;0;1;0
"146";"Blommersia_domerguei";20,3;0;1;0;1;0;1;0
"147";"Blommersia_galani";24,2;0;0;0;1;0;1;0
"148";"Blommersia_grandisonae";20,5;0;0;0;1;0;1;0
"149";"Blommersia_kely";15;0;0;0;1;0;1;0
"150";"Blommersia_sarotra";16;NA;NA;NA;NA;0;1;0
"151";"Blommersia_wittei";27;0;1;0;1;0;1;0
"152";"Boana_albomarginata";62;0;1;1;1;0;1;0
"153";"Boana_boans";132;0;1;1;1;0;1;0
"154";"Boana_crepitans";75;0;1;0;1;0;1;0
"155";"Boana_faber";104;0;1;1;1;0;1;0
"156";"Boana_geographica";85;0;1;1;1;0;1;0
"157";"Boana_heilprini";54,3;0;1;1;1;0;1;0
"158";"Boana_multifasciata";83;0;1;1;1;0;1;0
"159";"Boana_pardalis";75;0;1;1;1;0;1;0
"160";"Boana_pombali";65,7;0;1;0;1;0;1;0
"161";"Boana_punctata";41,7;0;1;0;1;0;1;0
"162";"Boana_raniceps";82;0;1;0;1;0;1;0
"163";"Boana_rosenbergi";95;0;1;1;1;0;1;0
"164";"Boana_rufitela";55;0;1;0;1;0;1;0
"165";"Boana_semilineata";52;0;1;1;1;0;1;0
"166";"Boehmantis_microtympanum";100;0;1;0;0;0;1;0
"167";"Bombina_bombina";50;1;1;1;0;0;1;0
"168";"Bombina_orientalis";47;1;1;1;0;0;1;0
"169";"Bombina_variegata";50;1;1;1;0;0;1;0
"170";"Boophis_albilabris";93;0;1;0;1;0;1;0
"171";"Boophis_albipunctatus";40;0;0;0;1;0;1;0
"172";"Boophis_andohahela";29,5;0;0;0;1;0;1;0
"173";"Boophis_andrangoloaka";37,4;0;0;0;1;NA;NA;NA
"174";"Boophis_andreonei";33;0;0;0;1;0;1;0
"175";"Boophis_anjanaharibeensis";34,34;0;0;0;1;0;1;0
"176";"Boophis_ankaratra";NA;0;0;0;1;0;1;0
"177";"Boophis_arcanus";34,3;0;0;0;1;NA;NA;NA
"178";"Boophis_axelmeyeri";40;0;0;0;1;0;1;0
"179";"Boophis_baetkei";30,8;0;0;0;1;NA;NA;NA
"180";"Boophis_blommersae";27;0;0;0;1;0;1;0
"181";"Boophis_boehmei";29,4;0;0;0;1;0;1;0
"182";"Boophis_bottae";35,1;0;0;0;1;0;1;0
"183";"Boophis_brachychir";71;0;0;0;1;0;1;0
"184";"Boophis_burgeri";NA;0;0;0;1;0;1;0
"185";"Boophis_calcaratus";39,5;0;0;0;1;NA;NA;NA
"186";"Boophis_doulioti";52,4;0;1;0;1;0;1;0
"187";"Boophis_elenae";NA;0;0;0;1;0;1;0
"188";"Boophis_englaenderi";39;0;0;0;1;0;1;0
"189";"Boophis_entingae";86,5;0;0;0;1;NA;NA;NA
"190";"Boophis_erythrodactylus";33;0;0;0;1;0;1;0
"191";"Boophis_feonnyala";25,4;0;0;0;1;0;1;0
"192";"Boophis_goudotii";80;0;1;0;1;0;1;0
"193";"Boophis_guibei";NA;0;0;0;1;0;1;0
"194";"Boophis_haematopus";28,3;0;0;0;1;0;1;0
"195";"Boophis_haingana";60;0;0;0;1;NA;NA;NA
"196";"Boophis_idae";NA;0;0;0;1;0;1;0
"197";"Boophis_jaegeri";30;0;0;0;1;0;1;0
"198";"Boophis_laurenti";43;0;1;0;1;0;1;0
"199";"Boophis_liami";21,3;0;0;0;1;0;1;0
"200";"Boophis_lichenoides";38;0;0;0;1;0;1;0
"201";"Boophis_lilianae";20;0;0;0;1;0;1;0
"202";"Boophis_luciae";70;0;0;0;1;NA;NA;NA
"203";"Boophis_luteus";60;0;0;0;1;0;1;0
"204";"Boophis_madagascariensis";80;0;0;0;1;0;1;0
"205";"Boophis_majori";29,2;0;0;0;1;0;1;0
"206";"Boophis_mandraka";23,2;0;0;0;1;0;1;0
"207";"Boophis_marojezensis";33;0;0;0;1;0;1;0
"208";"Boophis_miadana";27;0;0;0;1;NA;NA;NA
"209";"Boophis_microtympanum";NA;0;0;0;1;0;1;0
"210";"Boophis_miniatus";37,7;0;0;0;1;0;1;0
"211";"Boophis_obscurus";82;0;1;0;1;NA;NA;NA
"212";"Boophis_occidentalis";52,4;0;0;0;1;0;1;0
"213";"Boophis_opisthodon";85;0;0;0;1;0;1;0
"214";"Boophis_pauliani";NA;0;0;0;1;0;1;0
"215";"Boophis_periegetes";75;0;0;0;1;0;1;0
"216";"Boophis_picturatus";33,3;0;0;0;1;0;1;0
"217";"Boophis_piperatus";30;0;0;0;1;NA;NA;NA
"218";"Boophis_praedictus";89,3;0;0;0;1;NA;NA;NA
"219";"Boophis_pyrrhus";37;0;0;0;1;0;1;0
"220";"Boophis_quasiboehmei";28,65;0;0;0;1;0;1;0
"221";"Boophis_rappiodes";34;0;0;0;1;0;1;0
"222";"Boophis_reticulatus";35,46;0;0;0;1;0;1;0
"223";"Boophis_rhodoscelis";NA;0;0;0;1;0;1;0
"224";"Boophis_roseipalmatus";86,6;0;0;0;1;NA;NA;NA
"225";"Boophis_rufioculis";NA;0;0;0;1;0;1;0
"226";"Boophis_sambirano";23,7;0;0;0;1;0;1;0
"227";"Boophis_sandrae";100;0;1;0;1;NA;NA;NA
"228";"Boophis_schuboeae";26;0;0;0;1;0;1;0
"229";"Boophis_septentrionalis";52;0;0;0;1;0;1;0
"230";"Boophis_sibilans";30;0;0;0;1;0;1;0
"231";"Boophis_solomaso";21,6;0;0;0;1;0;1;0
"232";"Boophis_spinophis";56,5;0;0;0;1;NA;NA;NA
"233";"Boophis_tampoka";45,8;0;0;0;1;0;1;0
"234";"Boophis_tasymena";32,3;0;0;0;1;0;1;0
"235";"Boophis_tephraeomystax";50;0;0;0;1;0;1;0
"236";"Boophis_tsilomaro";85;0;0;0;1;0;1;0
"237";"Boophis_ulftunni";38;0;0;0;1;0;1;0
"238";"Boophis_viridis";35;0;0;0;1;0;1;0
"239";"Boophis_vittatus";25,4;0;0;0;1;0;1;0
"240";"Boophis_williamsi";44,3;0;0;0;1;0;1;0
"241";"Boophis_xerophilus";48,8;0;1;0;1;0;1;0
"242";"Brachycephalus_didactylus";10,7;0;1;1;0;1;0;0
"243";"Brachycephalus_ephippium";19,7;0;1;1;0;1;0;0
"244";"Breviceps_adspersus";60;1;1;1;0;1;0;0
"245";"Breviceps_mossambicus";52;1;1;1;0;1;0;0
"246";"Buergeria_buergeri";76;0;1;0;1;0;1;0
"247";"Buergeria_japonica";37;0;1;1;1;0;1;0
"248";"Buergeria_oxycephala";64,5;0;0;0;1;0;1;0
"249";"Buergeria_robusta";67,1;0;1;1;0;0;1;0
"250";"Bufo_bankorensis";110;0;1;1;0;0;1;0
"251";"Bufo_bufo";150;0;1;1;0;0;1;0
"252";"Bufo_gargarizans";134;0;1;1;0;0;1;0
"253";"Bufo_stejnegeri";62;0;1;1;1;0;1;0
"254";"Bufo_torrenticola";168;0;1;1;1;0;1;0
"255";"Bufotes_balearicus";NA;0;1;1;0;0;1;0
"256";"Bufotes_boulengeri";85,5;0;1;0;0;0;1;0
"257";"Bufotes_viridis";120;0;1;1;0;0;1;0
"258";"Callulops_boettgeri";NA;0;1;1;0;1;0;0
"259";"Callulops_comptus";NA;1;1;1;0;1;0;0
"260";"Callulops_doriae";100;0;1;1;0;1;0;0
"261";"Callulops_dubius";NA;0;1;1;0;1;0;0
"262";"Callulops_eremnosphax";42,7;0;1;0;0;NA;NA;NA
"263";"Callulops_fuscus";NA;0;1;1;0;1;0;0
"264";"Callulops_glandulosus";NA;0;1;1;0;1;0;0
"265";"Callulops_humicola";50;0;1;1;0;1;0;0
"266";"Callulops_kopsteini";NA;0;1;1;0;1;0;0
"267";"Callulops_marmoratus";53,3;1;1;0;0;1;0;0
"268";"Callulops_omnistriatus";67;0;1;0;0;NA;NA;NA
"269";"Callulops_personatus";NA;0;1;1;0;1;0;0
"270";"Callulops_robustus";78;1;1;1;0;1;0;0
"271";"Callulops_sagittatus";NA;0;1;1;0;1;0;0
"272";"Callulops_stictogaster";NA;0;1;1;0;1;0;0
"273";"Callulops_wilhelmanus";NA;0;1;1;0;1;0;0
"274";"Cardioglossa_occidentalis";34,8;0;1;0;0;0;1;0
"275";"Ceratophrys_aurita";149;0;1;0;0;0;1;0
"276";"Chalcorana_chalconota";79;0;1;0;0;0;1;0
"277";"Chalcorana_crassiovis";70,3;0;1;1;0;0;1;0
"278";"Chalcorana_kampeni";NA;0;1;0;0;0;1;0
"279";"Chalcorana_macrops";NA;0;1;0;0;0;1;0
"280";"Chalcorana_megalonesa";65,6;NA;NA;NA;NA;NA;NA;NA
"281";"Chalcorana_mocquardii";NA;NA;NA;NA;NA;NA;NA;NA
"282";"Chalcorana_parvaccola";NA;NA;NA;NA;NA;NA;NA;NA
"283";"Chalcorana_raniceps";70,8;0;1;1;0;0;1;0
"284";"Chalcorana_rufipes";NA;0;0;0;0;NA;NA;NA
"285";"Chaltenobatrachus_grandisonae";40,3;0;1;1;1;0;1;0
"286";"Chaperina_fusca";22,4;0;1;1;0;0;1;0
"287";"Chiasmocleis_leucosticta";23,6;0;1;1;0;0;1;0
"288";"Chirixalus_doriae";27,4;0;1;0;1;0;1;0
"289";"Chirixalus_nongkhorensis";34;0;0;0;1;0;1;0
"290";"Chiromantis_rufescens";65;0;0;1;1;0;1;0
"291";"Chiromantis_xerampelina";90;0;0;1;1;0;1;0
"292";"Choerophryne_allisoni";11,6;1;1;1;0;1;0;0
"293";"Choerophryne_amomani";15,1;1;1;1;0;NA;NA;NA
"294";"Choerophryne_arndtorum";14,8;1;1;1;0;NA;NA;NA
"295";"Choerophryne_brunhildae";21,1;0;1;1;0;1;0;0
"296";"Choerophryne_burtoni";12,4;1;1;1;0;1;0;0
"297";"Choerophryne_darlingtoni";27;0;1;1;0;1;0;0
"298";"Choerophryne_exclamitans";22;0;0;0;1;1;0;0
"299";"Choerophryne_fafniri";23;0;1;1;0;1;0;0
"300";"Choerophryne_gunnari";21,7;0;1;1;0;1;0;0
"301";"Choerophryne_laurini";19;0;0;0;1;1;0;0
"302";"Choerophryne_longirostris";22,5;1;1;1;0;1;0;0
"303";"Choerophryne_microps";20;1;1;1;0;NA;NA;NA
"304";"Choerophryne_nigrescens";17,8;1;1;1;0;NA;NA;NA
"305";"Choerophryne_proboscidea";22,1;1;1;1;0;1;0;0
"306";"Choerophryne_rhenaurum";15,8;0;1;0;0;1;0;0
"307";"Choerophryne_rostellifer";14,8;1;1;1;0;1;0;0
"308";"Choerophryne_sanguinopicta";17,4;0;0;0;1;1;0;0
"309";"Choerophryne_siegfriedi";21,3;0;1;1;0;1;0;0
"310";"Choerophryne_swanhildae";15,6;0;1;1;0;1;0;0
"311";"Choerophryne_tubercula";19;0;1;1;0;1;0;0
"312";"Choerophryne_valkuriarum";20,2;0;1;1;0;1;0;0
"313";"Choerophryne_variegata";17,4;0;1;1;0;1;0;0
"314";"Cochranella_granulosa";32;0;1;0;1;0;1;0
"315";"Colostethus_pratti";25;0;1;1;0;0;1;0
"316";"Conraua_crassipes";63;0;0;1;1;0;1;0
"317";"Cophixalus_ateles";14,4;0;1;1;0;1;0;0
"318";"Cophixalus_balbus";28,2;0;1;0;1;1;0;0
"319";"Cophixalus_bewaniensis";16,7;0;1;0;1;1;0;0
"320";"Cophixalus_biroi";NA;0;1;0;1;1;0;0
"321";"Cophixalus_caverniphilus";36,7;0;1;0;0;NA;NA;NA
"322";"Cophixalus_cheesmanae";39;0;1;1;1;1;0;0
"323";"Cophixalus_cryptotympanum";28,4;0;1;1;1;1;0;0
"324";"Cophixalus_cupricarenus";34,3;0;1;0;0;NA;NA;NA
"325";"Cophixalus_daymani";NA;0;1;1;0;1;0;0
"326";"Cophixalus_desticans";19,1;0;1;0;1;NA;NA;NA
"327";"Cophixalus_humicola";NA;0;1;0;0;1;0;0
"328";"Cophixalus_interruptus";17,5;0;0;0;1;NA;NA;NA
"329";"Cophixalus_iovaorum";14,5;1;0;0;0;NA;NA;NA
"330";"Cophixalus_kaindiensis";27,7;0;1;0;1;1;0;0
"331";"Cophixalus_kethuk";12,7;0;1;0;0;NA;NA;NA
