;id;FRic
3251;3251;0
3252;3252;0
3253;3253;0.012129009
3254;3254;0
3255;3255;0
3256;3256;0.00181643
3258;3258;0
3259;3259;0.000808365
3262;3262;0
3263;3263;0
3269;3269;0
3270;3270;0.00097543
3271;3271;0
3275;3275;0.000990947
3277;3277;0
3278;3278;0.113511552
3279;3279;0
3281;3281;0.117392592
3287;3287;0.023066277
3288;3288;0.016379107
3289;3289;0.00169063
3290;3290;0.113511552
3292;3292;0
3295;3295;0
3298;3298;0.015854632
3301;3301;0
3302;3302;0.252759223
3303;3303;0.110140435
3310;3310;0
3314;3314;0.007763496
3318;3318;0.130002152
3320;3320;0.007287
3326;3326;0
3327;3327;0
3334;3334;0
3335;3335;0.020403652
3337;3337;0.008597625
3338;3338;0.012129009
3339;3339;0.000222532
3341;3341;0.140688568
3344;3344;0.113511552
3348;3348;0.056328555
3349;3349;0.012129009
3354;3354;0
3355;3355;0
3359;3359;0
3360;3360;0
3363;3363;0
3365;3365;0.007546571
3366;3366;0
3367;3367;0.011796725
3368;3368;0.115330848
3371;3371;0
3372;3372;0
3373;3373;0
3377;3377;0
3380;3380;0
3385;3385;0.060436516
3386;3386;0.115219455
3395;3395;0.003823808
3398;3398;0.015854632
3400;3400;0
3401;3401;0
3406;3406;0.178608926
3408;3408;0.000222532
3409;3409;0
3412;3412;0
3413;3413;0
3419;3419;0.016379107
3420;3420;0
3421;3421;0.016120492
3423;3423;0.007546571
3424;3424;0.118760841
3427;3427;0
3429;3429;0.000578846
3431;3431;0.015854632
3434;3434;0
3438;3438;0.19121962
3440;3440;0
3441;3441;0.003823808
3442;3442;0.007287
3450;3450;0.13202665
3453;3453;0.012129009
3456;3456;0.152292657
3459;3459;0
3460;3460;0
3461;3461;0.008597625
3462;3462;0
3465;3465;0.000292424
3466;3466;0
3469;3469;0
3474;3474;0
3481;3481;0
3486;3486;0
3487;3487;0.017828747
3488;3488;0.062362941
3489;3489;0
3493;3493;0.007546571
3496;3496;0.119925032
3498;3498;0
3499;3499;0.006209132
3501;3501;0
3503;3503;0.006474292
3504;3504;0.007546571
3509;3509;0.000836876
3510;3510;0.007546571
3515;3515;0.000450005
3518;3518;0
3519;3519;0
3520;3520;0.016379107
3523;3523;0
3530;3530;0
3534;3534;0.009548211
3535;3535;0
3537;3537;0.103208183
3538;3538;0
3541;3541;0
3544;3544;0
3545;3545;0.000156482
3546;3546;0
3547;3547;0
3548;3548;0.007188433
3554;3554;0
3555;3555;0
3557;3557;0.077775104
3558;3558;0.108913436
3559;3559;0.007287
3564;3564;0.175474857
3565;3565;0
3567;3567;0
3569;3569;0
3570;3570;0.000990947
3572;3572;0
3573;3573;0.017411357
3574;3574;0
3575;3575;0
3576;3576;0
3577;3577;0.009548211
3579;3579;0
3580;3580;0.000808365
3581;3581;0.007763496
3582;3582;0
3586;3586;0.001125542
3589;3589;0
3590;3590;0.007626244
3591;3591;0.043482368
3592;3592;0
3595;3595;0.007763496
3597;3597;0
3598;3598;0.2290978
3601;3601;0
3602;3602;0
3606;3606;0.006474292
3610;3610;0
3611;3611;0.006209132
3618;3618;0.007546571
3619;3619;0
3621;3621;0
3622;3622;0
3623;3623;0
3631;3631;0
3632;3632;0
3642;3642;0
3643;3643;0.011849461
3645;3645;0
3646;3646;0.007640449
3654;3654;0
3659;3659;0.007546571
3661;3661;0
3666;3666;0.007546571
3669;3669;0
3675;3675;0
3676;3676;0
3678;3678;0
3679;3679;0
3680;3680;0
3683;3683;0.000730495
3684;3684;0
3687;3687;0
3691;3691;0.003035353
3692;3692;0.062884242
3693;3693;0.057665168
3694;3694;0.057236308
3702;3702;0
3706;3706;0
3708;3708;0
3710;3710;0.062579866
3711;3711;0
3713;3713;0.007546571
3716;3716;0.007546571
3719;3719;0
3720;3720;0.001573069
3728;3728;0
3729;3729;0
3731;3731;0
3733;3733;0
3741;3741;0.001125542
3744;3744;0.006264015
3745;3745;0.007546571
3746;3746;0.005672886
3748;3748;0
3753;3753;0.140688568
3754;3754;0
3761;3761;0
3764;3764;0.000660219
3765;3765;0
3767;3767;0.000730495
3769;3769;0
3771;3771;0
3781;3781;0.057665168
3782;3782;0.007546571
3783;3783;0.000125688
3785;3785;0
3787;3787;0.007356158
3788;3788;0.057665168
3789;3789;0
3790;3790;0.007546571
